,0
0,0.99
1,0.01980000000000002
2,0.03881592000000004
3,0.07461848870910727
4,0.1381011397037522
5,0.23805842983255385
6,0.3627732276364258
7,0.4623376258933516
8,0.4971630911533017
9,0.499983903896391
10,0.4999999994818309
11,0.49999999999999994
12,0.49999999999999994
13,0.49999999999999994
14,0.49999999999999994
15,0.49999999999999994
16,0.49999999999999994
17,0.49999999999999994
18,0.49999999999999994
19,0.49999999999999994
20,0.49999999999999994
21,0.49999999999999994
22,0.49999999999999994
23,0.49999999999999994
24,0.49999999999999994
25,0.49999999999999994
26,0.49999999999999994
27,0.49999999999999994
28,0.49999999999999994
29,0.49999999999999994
30,0.49999999999999994
